SITE,AGENCY,CITY,STATE,UTM_N,UTM_E,LATITUDE_N,LONGITUDE_W,BASE_HT_M,TOWER_HT_M,ANT_HT_M,Name of NEXRAD Site,ID,Owner,"Antenna
Elevation"
NQA,NWS,MEMPHIS,TN/Millington,3915060.0,238871.0,35.344722,-89.873333,86.0,20.0,106.0,"Memphis, TN",KNQA,NWS,435
OAX,NWS,OMAHA,NE/Valley,4577660.0,720402.0,41.320278,-96.366667,349.9,30.0,379.9,"Omaha, NE",KOAX,NWS,"1,262"
OHX,NWS,NASHVILLE,TN/Old Hickory,4011460.0,539308.0,36.247222,-86.5625,176.5,20.0,196.5,"Nashville, TN",KOHX,NWS,676
OKX,NWS,NEW YORK CITY,NY/Upton,4526030.0,680021.0,40.865556,-72.863889,25.9,30.0,55.9,"New York City/Upton, NY",KOKX,NWS,199
OTX,NWS,SPOKANE,WA/Spokane,5280960.0,452965.0,47.680278,-117.62667,726.6,10.0,736.6,"Spokane, WA",KOTX,NWS,"2,448"
PAH,NWS,PADUCAH,KY/Paducah,4103920.0,342474.0,37.068333,-88.771944,119.5,30.0,149.5,"Paducah, KY",KPAH,NWS,506
PBZ,NWS,PITTSBURGH,PA/Coraopolis,4487060.0,566226.0,40.531667,-80.218056,361.2,20.0,381.2,"Pittsburgh, PA",KPBZ,NWS,"1,266"
PDT,NWS,PENDLETON,OR/Pendleton,5061340.0,355738.0,45.690556,-118.85278,461.8,10.0,471.8,"Pendleton, OR",KPDT,NWS,"1,579"
POE,DOD,LAKE CHARLES,LA/Ft Polk Firing Pt 707,3446840.0,502303.0,31.155556,-92.975833,124.4,10.0,134.4,"Ft Polk, LA",KPOE,DOD,473
PUX,NWS,PUEBLO,CO/Pueblo County,4257110.0,571422.0,38.459444,-104.18139,1599.9,10.0,1609.9,"Pueblo, CO",KPUX,NWS,"5,362"
RAX,NWS,RALEIGH/DURHAM,NC/Clayton,3949760.0,727220.0,35.665556,-78.489722,106.1,30.0,136.1,"Raleigh/Durham, NC",KRAX,NWS,462
RGX,NWS,RENO,NV/Washoe County,4403370.0,289062.0,39.754167,-119.46222,2529.5,20.0,2549.5,"Reno, NV",KRGX,NWS,"8,394"
RIW,NWS,RIVERTON,WY/Riverton,4771250.0,705412.0,43.066111,-108.47722,1697.1,10.0,1707.1,"Riverton, WY",KRIW,NWS,"5,631"
RLX,NWS,CHARLESTON,WV/Ruthdale,4240580.0,436786.0,38.311111,-81.723056,329.2,30.0,359.2,"Charleston, WV",KRLX,NWS,"1,213"
RTX,NWS,PORTLAND,OR/Scappoose,5062350.0,502702.0,45.714722,-122.96528,479.1,30.0,509.1,"Portland, OR",KRTX,NWS,"1,728"
SFX,NWS,POCATELLO/IDAHO FALLS,ID/Springfield,4773950.0,362803.0,43.105833,-112.68611,1363.7,10.0,1373.7,"Pocatello, ID",KSFX,NWS,"4,538"
SGF,NWS,SPRINGFIELD,MO/Springfield,4121050.0,464470.0,37.235278,-93.400556,389.5,20.0,409.5,"Springfield, MO",KSGF,NWS,"1,375"
SHV,NWS,SHREVEPORT,LA/Shreveport,3590720.0,420916.0,32.450833,-93.841389,83.2,30.0,113.2,"Shreveport, LA",KSHV,NWS,387
SJT,NWS,SAN ANGELO,TX/San Angelo,3471720.0,358065.0,31.371389,-100.4925,576.1,30.0,606.1,"San Angelo, TX",KSJT,NWS,"2,003"
SOX,NWS,SAN DIEGO,CA/Orange County,3742130.0,441157.0,33.817778,-117.63583,922.6,15.0,937.6,"Santa Ana Mountains, CA",KSOX,NWS,"3,105"
SRX,NWS,TULSA,OK/Western Arkansas,3906120.0,376183.0,35.290556,-94.361667,195.1,20.0,215.1,"Fort Smith, AR",KSRX,NWS,737
TBW,NWS,TAMPA BAY AREA,FL/Ruskin,3065370.0,361804.0,27.705556,-82.401667,12.5,20.0,32.5,"Tampa Bay, FL",KTBW,NWS,122
TFX,NWS,GREAT FALLS,MT/Great Falls,5256330.0,470961.0,47.459722,-111.38528,1132.0,10.0,1142.0,"Great Falls, MT",KTFX,NWS,"3,804"
TLH,NWS,TALLAHASSEE,FL/Tallahassee,3365860.0,756635.0,30.3975,-84.328889,19.2,30.0,49.2,"Tallahassee, FL",KTLH,NWS,177
TLX,NWS,OKLAHOMA CITY,OK/Norman,3911340.0,656524.0,35.333056,-97.277778,369.7,15.0,384.7,"Oklahoma City, OK",KTLX,NWS,"1,277"
TWX,NWS,TOPEKA,KS/Alma,4320080.0,739673.0,38.996944,-96.2325,416.7,10.0,426.7,"Topeka, KS",KTWX,NWS,"1,415"
TYX,DOD,BURLINGTON,VT/TBD,4845040.0,438550.0,43.755833,-75.763333,562.4,30.0,592.4,"Montague/Ft Drum, NY",KTYX,DOD,"1,959"
UDX,NWS,RAPID CITY,SD/New Underwood,4888050.0,673636.0,44.125,-102.82972,919.3,30.0,949.3,"Rapid City, SD",KUDX,NWS,"3,194"
UEX,NWS,HASTINGS,NE/Webster County,4463520.0,547412.0,40.320833,-98.441944,602.3,20.0,622.3,"Hastings, NE",KUEX,NWS,"2,057"
VAX,DOD,TALLAHASSEE,FL/(Moody AFB),3419160.0,308672.0,30.890278,-83.001667,54.3,30.0,84.3,"Moody AFB, GA",KVAX,DOD,330
VBX,DOD,LOS ANGELES,CA/(Vandenberg AFB),3858170.0,738029.0,34.838056,-120.39694,372.8,20.0,392.8,"Vandenberg AFB, CA",KVBX,DOD,"1,354"
VNX,DOD,OKLAHOMA CITY,OK/(Vance AFB),4066480.0,577870.0,36.740833,-98.127778,368.8,10.0,378.8,"Vance AFB, OK",KVNX,DOD,"1,258"
VTX,NWS,LOS ANGELES,CA/Ventura County,3809960.0,299692.0,34.411667,-119.17944,830.9,20.0,850.9,"Los Angeles, CA",KVTX,NWS,"2,806"
YUX,NWS,PHOENIX,AZ/Yuma,3597760.0,720168.0,32.495278,-114.65667,53.0,10.0,63.0,"Yuma, AZ",KYUX,NWS,239
DGX,NWS,"BRANDON, MS","JACKSON/BRANDON, MS",,,32.28,-89.9844,186.0,,,"Jackson, MS",KDGX,NWS,609
LGX,NWS,"LANGLEY HILL, WA",LANGLEY HILL (NW WASHINGTON),,,47.1158,-124.1069,77.0,,,"Langley Hill, WA",KLGX,NWS,354
VWX,NWS,"OWENSVILLE, IN","EVANSVILLE, IN",,,38.2666,-87.7166,190.0,,,"Evansville, IN",KVWX,NWS,625
